,Key,Value
553,"('CDA', 'BIJ1', 'Volt')",0
554,"('CDA', 'BIJ1', 'CU')",0
555,"('CDA', 'BIJ1', 'JA21')",0
556,"('CDA', 'BIJ1', 'VVD')",0
557,"('CDA', 'FvD', 'GL')",0
558,"('CDA', 'FvD', 'PVV')",0
559,"('CDA', 'FvD', 'Denk')",0
560,"('CDA', 'FvD', 'SP')",0
561,"('CDA', 'FvD', '50PLUS')",0
562,"('CDA', 'FvD', 'PvdD')",0
563,"('CDA', 'FvD', 'BBB')",0
564,"('CDA', 'FvD', 'Volt')",0
565,"('CDA', 'FvD', 'CU')",0
566,"('CDA', 'FvD', 'JA21')",0
567,"('CDA', 'FvD', 'VVD')",0
568,"('CDA', 'GL', 'PVV')",0
569,"('CDA', 'GL', 'Denk')",0
570,"('CDA', 'GL', 'SP')",0
571,"('CDA', 'GL', '50PLUS')",0
572,"('CDA', 'GL', 'PvdD')",0
573,"('CDA', 'GL', 'BBB')",0
574,"('CDA', 'GL', 'Volt')",0
575,"('CDA', 'GL', 'CU')",0
576,"('CDA', 'GL', 'JA21')",0
577,"('CDA', 'GL', 'VVD')",0
578,"('CDA', 'PVV', 'Denk')",0
579,"('CDA', 'PVV', 'SP')",0
580,"('CDA', 'PVV', '50PLUS')",0
581,"('CDA', 'PVV', 'PvdD')",0
582,"('CDA', 'PVV', 'BBB')",0
583,"('CDA', 'PVV', 'Volt')",0
584,"('CDA', 'PVV', 'CU')",0
585,"('CDA', 'PVV', 'JA21')",0
586,"('CDA', 'PVV', 'VVD')",0
587,"('CDA', 'Denk', 'SP')",1
588,"('CDA', 'Denk', '50PLUS')",0
589,"('CDA', 'Denk', 'PvdD')",1
590,"('CDA', 'Denk', 'BBB')",0
591,"('CDA', 'Denk', 'Volt')",0
592,"('CDA', 'Denk', 'CU')",1
593,"('CDA', 'Denk', 'JA21')",0
594,"('CDA', 'Denk', 'VVD')",0
595,"('CDA', 'SP', '50PLUS')",0
596,"('CDA', 'SP', 'PvdD')",0
597,"('CDA', 'SP', 'BBB')",1
598,"('CDA', 'SP', 'Volt')",0
599,"('CDA', 'SP', 'CU')",0
600,"('CDA', 'SP', 'JA21')",0
601,"('CDA', 'SP', 'VVD')",1
602,"('CDA', '50PLUS', 'PvdD')",0
603,"('CDA', '50PLUS', 'BBB')",0
604,"('CDA', '50PLUS', 'Volt')",0
605,"('CDA', '50PLUS', 'CU')",0
606,"('CDA', '50PLUS', 'JA21')",0
607,"('CDA', '50PLUS', 'VVD')",0
608,"('CDA', 'PvdD', 'BBB')",0
609,"('CDA', 'PvdD', 'Volt')",0
610,"('CDA', 'PvdD', 'CU')",1
611,"('CDA', 'PvdD', 'JA21')",0
612,"('CDA', 'PvdD', 'VVD')",0
613,"('CDA', 'BBB', 'Volt')",1
614,"('CDA', 'BBB', 'CU')",1
615,"('CDA', 'BBB', 'JA21')",0
616,"('CDA', 'BBB', 'VVD')",22
617,"('CDA', 'Volt', 'CU')",0
618,"('CDA', 'Volt', 'JA21')",0
619,"('CDA', 'Volt', 'VVD')",3
620,"('CDA', 'CU', 'JA21')",0
621,"('CDA', 'CU', 'VVD')",7
622,"('CDA', 'JA21', 'VVD')",0
623,"('GL/PvdA', 'BIJ1', 'FvD')",0
624,"('GL/PvdA', 'BIJ1', 'GL')",0
625,"('GL/PvdA', 'BIJ1', 'PVV')",0
626,"('GL/PvdA', 'BIJ1', 'Denk')",0
627,"('GL/PvdA', 'BIJ1', 'SP')",0
628,"('GL/PvdA', 'BIJ1', '50PLUS')",0
